Quarter,Year,Budget,Marketing_Spend,RnD_Spend,Ops_Spend,Marketing_Revenue,RnD_Revenue,Ops_Revenue
1,2022,31655810000000,8479152000000,23169478000000,40904097000000,5925534000000,5925534000000,106867660000000
2,2022,35250400000000,8637280000000,26632160000000,55274920000000,4887650000000,4887650000000,88036060000000
3,2022,38459648000000,9418898000000,29033910000000,41080452000000,4430766000000,4430766000000,79680666000000
4,2022,40037880000000,9710000000000,30317896000000,34463728000000,4709328000000,4709328000000,84606720000000
1,2023,38179896000000,9634086000000,28541250000000,38719968000000,5479920000000,5479920000000,98527626000000
2,2023,39634552000000,9275312000000,30388000000000,60165664000000,10054800000000,10054800000000,181174072000000
3,2023,45417598000000,10488734000000,34928324000000,71833120000000,13790676000000,13790676000000,248272008000000
4,2023,49475680000000,11061800000000,38421480000000,82618340000000,17215900000000,17215900000000,309926340000000
1,2024,54683080000000,13670770000000,41012310000000,88054720000000,20361061000000,20361061000000,366499098000000
2,2024,63445431800000,15861357950000,47584073850000,120607329400000,24248300700000,24248300700000,436469412600000
3,2024,66590920500000,16647730125000,49943190375000,138675699600000,27252308100000,27252308100000,490541545800000
4,2024,74611617750000,18652904438000,55958713313000,169045715250000,31310875875000,31310875875000,563595765750000
1,2025,82143626250000,20535906563000,61607719688000,282752987600000,36009836700000,36009836700000,648177060600000
2,2025,88485398875000,22121349719000,66364049156000,210950917000000,38206863563000,38206863563000,687723544125000
3,2025,96045996750000,24011499188000,72034497563000,249742912000000,46881159000000,46881159000000,843860862000000
4,2025,111410612500000,27852653125000,83557959375000,272693625000000,54090968750000,54090968750000,973637437500000
