Quarter,Year,Budget,Marketing_Spend,RnD_Spend,Ops_Spend,Marketing_Revenue,RnD_Revenue,Ops_Revenue
1,2022,2210000000,552500000,1657500000,2857000000,414000000,414000000,7452000000
2,2022,2416000000,604000000,1812000000,3788000000,335000000,335000000,6030000000
3,2022,2576000000,644000000,1932000000,2754000000,297000000,297000000,5346000000
4,2022,2576000000,644000000,1932000000,2218000000,303000000,303000000,5454000000
1,2023,2508000000,627000000,1881000000,2544000000,360000000,360000000,6480000000
2,2023,2662000000,665500000,1996500000,4039000000,675000000,675000000,12150000000
3,2023,2983000000,745750000,2237250000,4720000000,906000000,906000000,16308000000
4,2023,3176000000,794000000,2382000000,5303000000,1105150000,1105150000,19892700000
1,2024,3497000000,874250000,2622750000,5630000000,1302200000,1302200000,23439600000
2,2024,3932000000,983000000,2949000000,7466000000,1502000000,1502000000,27036000000
3,2024,4287000000,1071750000,3215250000,8890000000,1754100000,1754100000,31573800000
4,2024,4689000000,1172250000,3516750000,10629000000,1966550000,1966550000,35397900000
1,2025,5030000000,1257500000,3772500000,11520000000,2203100000,2203100000,39657900000
2,2025,5413000000,1353250000,4059750000,12890000000,2337150000,2337150000,42068700000
3,2025,5839000000,1459750000,4379250000,15157000000,2850300000,2850300000,51305400000
4,2025,6500000000,1625000000,4875000000,15900000000,3000000000,3000000000,54000000000
